Gender;Class;ParentEducation;Income;Continuity;WeeklyWork;Interest;ExamPreparation;Department;GPA
Female;Graduated;Primary;Moderate;High;11-20Hours;High;Moderate;Other;3,71
Male;3;Primary;Moderate;Moderate;11-20Hours;Moderate;Moderate;Engineering;3,22
Male;Graduated;Degree;Moderate;High;LessTen;Moderate;Moderate;Engineering;3,1
Female;1;High;Moderate;Moderate;LessTen;Moderate;Moderate;Other;3,71
Female;4+;Degree;Moderate;Moderate;LessTen;High;Moderate;Engineering;2,98
Female;3;Primary;Moderate;High;MoreThirty;High;High;Engineering;3,64
Female;Graduated;High;Moderate;High;LessTen;Moderate;High;Other;3,53
Female;1;High;Moderate;High;LessTen;Moderate;Moderate;Paramedic;2,83
Male;4+;Degree;Moderate;Moderate;MoreThirty;Moderate;Moderate;Engineering;3,34
Male;3;Degree;Moderate;Moderate;LessTen;Low;Low;Engineering;2,7
Male;4+;High;Moderate;Low;LessTen;Low;Low;Engineering;2,79
Male;4+;Degree;Moderate;Low;LessTen;Moderate;Moderate;Engineering;2,84
